quantization,execution_mode,idx,op_type,dst,dst_type,dst_buft,src0,src0_buft,block_index,logical_layer,tensor_role,assigned_backend,prefill_us,decode_us,timing_source,fused_note
Q4_0,HTP0,36,RMS_NORM,norm,f32,HTP0,ffn_out-1,HTP0,,norm,norm,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,37,ADD,l_out-1,f32,HTP0,ffn_post_norm,HTP0,,ffn_post_norm,norm,HTP0,239,2,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,38,MUL_MAT,Qcur-2,f32,HTP0,blk.2.attn_q.weight,HTP0-REPACK,2,blk.2,attn_q,HTP0,15,87,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,39,MUL_MAT,Vcur-2,f32,HTP0,blk.2.attn_v.weight,HTP0-REPACK,2,blk.2,attn_v,HTP0,229,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,40,MUL_MAT,Kcur-2,f32,HTP0,blk.2.attn_k.weight,HTP0-REPACK,2,blk.2,attn_k,HTP0,227,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,41,RMS_NORM,norm-2,f32,HTP0,Qcur-2,HTP0,2,blk.2,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,42,ROPE,Qcur-2,f32,HTP0,Qcur_normed-2,HTP0,2,blk.2,attn_q,HTP0,15,87,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,43,RMS_NORM,norm-2,f32,HTP0,Kcur-2,HTP0,2,blk.2,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,44,ROPE,Kcur-2,f32,HTP0,Kcur_normed-2,HTP0,2,blk.2,attn_k,HTP0,227,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,45,SET_ROWS,cache_k_l2 (view),f16,HTP0,Kcur-2 (view),HTP0,2,blk.2,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,46,SET_ROWS,cache_v_l2 (view),f16,HTP0,Vcur-2 (view),HTP0,2,blk.2,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,47,FLASH_ATTN_EXT,__fattn__-2,f32,HTP0,Qcur-2 (view) (permuted),HTP0,2,blk.2,attn_q,HTP0,262,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,48,MUL_MAT,attn_out-2,f32,HTP0,blk.2.attn_output.weight,HTP0-REPACK,2,blk.2,attn_output,HTP0,446,53,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,49,RMS_NORM,norm-2,f32,HTP0,attn_out-2,HTP0,2,blk.2,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,50,ADD,ffn_inp-2,f32,HTP0,attn_post_norm-2,HTP0,2,blk.2,norm,HTP0,202,6,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,51,MUL_MAT,ffn_gate-2,f32,HTP0,blk.2.ffn_gate.weight,HTP0-REPACK,2,blk.2,ffn_gate,HTP0,746,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,52,MUL_MAT,ffn_up-2,f32,HTP0,blk.2.ffn_up.weight,HTP0-REPACK,2,blk.2,ffn_up,HTP0,799,210,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,53,GLU,ffn_swiglu-2,f32,HTP0,ffn_gate-2,HTP0,2,blk.2,ffn_gate,HTP0,701,10,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,54,MUL_MAT,ffn_out-2,f32,HTP0,blk.2.ffn_down.weight,HTP0-REPACK,2,blk.2,ffn_down,HTP0,793,99,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,55,RMS_NORM,norm,f32,HTP0,ffn_out-2,HTP0,,norm,norm,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,56,ADD,l_out-2,f32,HTP0,ffn_post_norm,HTP0,,ffn_post_norm,norm,HTP0,232,2,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,57,MUL_MAT,Qcur-3,f32,HTP0,blk.3.attn_q.weight,HTP0-REPACK,3,blk.3,attn_q,HTP0,15,90,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,58,MUL_MAT,Vcur-3,f32,HTP0,blk.3.attn_v.weight,HTP0-REPACK,3,blk.3,attn_v,HTP0,229,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,59,MUL_MAT,Kcur-3,f32,HTP0,blk.3.attn_k.weight,HTP0-REPACK,3,blk.3,attn_k,HTP0,231,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,60,RMS_NORM,norm-3,f32,HTP0,Qcur-3,HTP0,3,blk.3,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,61,ROPE,Qcur-3,f32,HTP0,Qcur_normed-3,HTP0,3,blk.3,attn_q,HTP0,15,90,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,62,RMS_NORM,norm-3,f32,HTP0,Kcur-3,HTP0,3,blk.3,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,63,ROPE,Kcur-3,f32,HTP0,Kcur_normed-3,HTP0,3,blk.3,attn_k,HTP0,231,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,64,SET_ROWS,cache_k_l3 (view),f16,HTP0,Kcur-3 (view),HTP0,3,blk.3,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,65,SET_ROWS,cache_v_l3 (view),f16,HTP0,Vcur-3 (view),HTP0,3,blk.3,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,66,FLASH_ATTN_EXT,__fattn__-3,f32,HTP0,Qcur-3 (view) (permuted),HTP0,3,blk.3,attn_q,HTP0,263,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,67,MUL_MAT,attn_out-3,f32,HTP0,blk.3.attn_output.weight,HTP0-REPACK,3,blk.3,attn_output,HTP0,449,65,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,68,RMS_NORM,norm-3,f32,HTP0,attn_out-3,HTP0,3,blk.3,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,69,ADD,ffn_inp-3,f32,HTP0,attn_post_norm-3,HTP0,3,blk.3,norm,HTP0,226,6,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,70,MUL_MAT,ffn_gate-3,f32,HTP0,blk.3.ffn_gate.weight,HTP0-REPACK,3,blk.3,ffn_gate,HTP0,755,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,71,MUL_MAT,ffn_up-3,f32,HTP0,blk.3.ffn_up.weight,HTP0-REPACK,3,blk.3,ffn_up,HTP0,781,231,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,72,GLU,ffn_swiglu-3,f32,HTP0,ffn_gate-3,HTP0,3,blk.3,ffn_gate,HTP0,692,10,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,73,MUL_MAT,ffn_out-3,f32,HTP0,blk.3.ffn_down.weight,HTP0-REPACK,3,blk.3,ffn_down,HTP0,796,98,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,74,RMS_NORM,norm,f32,HTP0,ffn_out-3,HTP0,,norm,norm,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,75,ADD,l_out-3,f32,HTP0,ffn_post_norm,HTP0,,ffn_post_norm,norm,HTP0,232,2,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,76,MUL_MAT,Qcur-4,f32,HTP0,blk.4.attn_q.weight,HTP0-REPACK,4,blk.4,attn_q,HTP0,15,81,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,77,MUL_MAT,Vcur-4,f32,HTP0,blk.4.attn_v.weight,HTP0-REPACK,4,blk.4,attn_v,HTP0,231,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,78,MUL_MAT,Kcur-4,f32,HTP0,blk.4.attn_k.weight,HTP0-REPACK,4,blk.4,attn_k,HTP0,226,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,79,RMS_NORM,norm-4,f32,HTP0,Qcur-4,HTP0,4,blk.4,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,80,ROPE,Qcur-4,f32,HTP0,Qcur_normed-4,HTP0,4,blk.4,attn_q,HTP0,15,81,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,81,RMS_NORM,norm-4,f32,HTP0,Kcur-4,HTP0,4,blk.4,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,82,ROPE,Kcur-4,f32,HTP0,Kcur_normed-4,HTP0,4,blk.4,attn_k,HTP0,226,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,83,SET_ROWS,cache_k_l4 (view),f16,HTP0,Kcur-4 (view),HTP0,4,blk.4,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,84,SET_ROWS,cache_v_l4 (view),f16,HTP0,Vcur-4 (view),HTP0,4,blk.4,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,85,FLASH_ATTN_EXT,__fattn__-4,f32,HTP0,Qcur-4 (view) (permuted),HTP0,4,blk.4,attn_q,HTP0,266,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,86,MUL_MAT,attn_out-4,f32,HTP0,blk.4.attn_output.weight,HTP0-REPACK,4,blk.4,attn_output,HTP0,451,59,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,87,RMS_NORM,norm-4,f32,HTP0,attn_out-4,HTP0,4,blk.4,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,88,ADD,ffn_inp-4,f32,HTP0,attn_post_norm-4,HTP0,4,blk.4,norm,HTP0,222,6,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,89,MUL_MAT,ffn_gate-4,f32,HTP0,blk.4.ffn_gate.weight,HTP0-REPACK,4,blk.4,ffn_gate,HTP0,753,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,90,MUL_MAT,ffn_up-4,f32,HTP0,blk.4.ffn_up.weight,HTP0-REPACK,4,blk.4,ffn_up,HTP0,775,226,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,91,GLU,ffn_swiglu-4,f32,HTP0,ffn_gate-4,HTP0,4,blk.4,ffn_gate,HTP0,708,10,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,92,MUL_MAT,ffn_out-4,f32,HTP0,blk.4.ffn_down.weight,HTP0-REPACK,4,blk.4,ffn_down,HTP0,791,99,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,93,RMS_NORM,norm,f32,HTP0,ffn_out-4,HTP0,,norm,norm,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,94,ADD,l_out-4,f32,HTP0,ffn_post_norm,HTP0,,ffn_post_norm,norm,HTP0,237,2,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,95,MUL_MAT,Qcur-5,f32,HTP0,blk.5.attn_q.weight,HTP0-REPACK,5,blk.5,attn_q,HTP0,15,81,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,96,MUL_MAT,Vcur-5,f32,HTP0,blk.5.attn_v.weight,HTP0-REPACK,5,blk.5,attn_v,HTP0,230,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,97,MUL_MAT,Kcur-5,f32,HTP0,blk.5.attn_k.weight,HTP0-REPACK,5,blk.5,attn_k,HTP0,237,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,98,RMS_NORM,norm-5,f32,HTP0,Qcur-5,HTP0,5,blk.5,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,99,ROPE,Qcur-5,f32,HTP0,Qcur_normed-5,HTP0,5,blk.5,attn_q,HTP0,15,81,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,100,RMS_NORM,norm-5,f32,HTP0,Kcur-5,HTP0,5,blk.5,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,101,ROPE,Kcur-5,f32,HTP0,Kcur_normed-5,HTP0,5,blk.5,attn_k,HTP0,237,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,102,SET_ROWS,cache_k_l5 (view),f16,HTP0,Kcur-5 (view),HTP0,5,blk.5,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,103,SET_ROWS,cache_v_l5 (view),f16,HTP0,Vcur-5 (view),HTP0,5,blk.5,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,104,FLASH_ATTN_EXT,__fattn__-5,f32,HTP0,Qcur-5 (view) (permuted),HTP0,5,blk.5,attn_q,HTP0,261,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,105,MUL_MAT,attn_out-5,f32,HTP0,blk.5.attn_output.weight,HTP0-REPACK,5,blk.5,attn_output,HTP0,448,54,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,106,RMS_NORM,norm-5,f32,HTP0,attn_out-5,HTP0,5,blk.5,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
